Message Type,Device_ID,Sequence Number,Timestamp,Batch Count,Valid Checksum,Arrival,Duplicate Flag,Gap Flag,Bytes Per Report,CPU Time Per Report(ms)
1,1,40,1765563526,3,True,1765563527.4489572,1,0,74,0.05082300049252808
1,1,81,1765563527,3,True,1765563527.4496753,1,0,73,0.04909900053462479
1,1,82,1765563527,3,True,1765563527.4801357,1,0,74,0.07796800036885543
1,1,83,1765563527,3,True,1765563527.516055,1,0,73,0.07666100009373622
1,1,45,1765563526,1,True,1765563527.5454023,1,0,31,0.051635999625432305
1,1,84,1765563527,3,True,1765563527.5466166,1,0,74,0.0919679996513878
1,1,42,1765563526,3,True,1765563527.5472188,1,0,74,0.04936999994242797
1,1,85,1765563527,3,True,1765563527.5512378,1,0,73,0.05084199983684812
1,1,43,1765563526,2,True,1765563527.5537214,1,0,53,0.05314800000633113
1,1,44,1765563526,3,True,1765563527.554943,1,0,72,0.046987000132503454
1,1,86,1765563527,2,True,1765563527.5738058,1,0,53,0.059948999478365295
1,1,87,1765563527,3,True,1765563527.5993323,1,0,72,0.06715700055792695
1,1,88,1765563527,3,True,1765563527.6247716,1,0,73,0.057807999837677926
1,1,89,1765563527,3,True,1765563527.6459389,1,0,74,0.06838700028310996
1,1,47,1765563526,3,True,1765563527.6513736,1,0,74,0.04926300061924849
1,1,46,1765563526,1,True,1765563527.6516333,1,0,32,0.04299499960325193
1,1,90,1765563527,1,True,1765563527.669274,1,0,32,0.04085399996256456
1,1,91,1765563527,3,True,1765563527.6812334,1,0,74,0.07837600060156547
1,1,92,1765563527,2,True,1765563527.703754,1,0,53,0.05961999977444066
1,1,93,1765563527,2,True,1765563527.7178302,1,0,52,0.05740100004913984
1,1,52,1765563526,1,True,1765563527.739467,1,0,32,0.04289800017431844
1,1,51,1765563526,3,True,1765563527.7413058,1,0,74,0.05488199985848041
1,1,94,1765563527,1,True,1765563527.745173,1,0,32,0.03243500032112934
1,1,50,1765563526,1,True,1765563527.7455132,1,0,32,0.03166900023643393
1,1,48,1765563526,3,True,1765563527.745814,1,0,74,0.045988999772816896
1,1,49,1765563526,3,True,1765563527.7547731,1,0,73,0.04880800042883493
1,1,95,1765563527,3,True,1765563527.7761536,1,0,73,0.05626700021821307
1,1,96,1765563527,1,True,1765563527.8034825,1,0,32,0.039198000195028726
1,1,97,1765563527,2,True,1765563527.8160317,1,0,53,0.057672000366437715
1,1,56,1765563526,2,True,1765563527.8421197,1,0,53,0.07271800041053211
1,1,98,1765563527,3,True,1765563527.843757,1,0,73,0.05224699998507276
1,1,54,1765563526,3,True,1765563527.8446507,1,0,74,0.05841900019731838
1,1,55,1765563526,2,True,1765563527.8449757,1,0,53,0.058990000070480164
1,1,99,1765563527,3,True,1765563527.8538907,1,0,74,0.06300100085354643
1,1,57,1765563526,3,True,1765563527.8547018,1,0,73,0.04446700040716678
1,1,53,1765563526,3,True,1765563527.8560646,1,0,73,0.059948999478365295
1,1,100,1765563527,2,True,1765563527.8894734,1,0,52,0.0638250003248686
1,1,101,1765563527,2,True,1765563527.8920026,1,0,53,0.05335100013326155
1,1,102,1765563527,2,True,1765563527.9200275,1,0,51,0.06444399969041115
1,1,61,1765563526,2,True,1765563527.9420984,1,0,53,0.06739899981766939
1,1,59,1765563526,3,True,1765563527.9439354,1,0,73,0.04987400006939424
1,1,62,1765563526,3,True,1765563527.9500897,1,0,73,0.050038000154017936
1,1,58,1765563526,2,True,1765563527.9512074,1,0,53,0.04184199951851042
1,1,60,1765563526,1,True,1765563527.957184,1,0,32,0.03653299972938839
1,1,103,1765563527,3,True,1765563527.9667873,1,0,74,0.06191500051500043
1,1,104,1765563527,1,True,1765563527.9982402,1,0,32,0.04927200006932253
1,1,105,1765563527,3,True,1765563528.0307412,1,0,74,0.08789900039118947
1,1,63,1765563526,1,True,1765563528.0424204,1,0,32,0.04080600047018379
1,1,64,1765563526,1,True,1765563528.0429397,1,0,32,0.029887999517086428
1,1,106,1765563527,3,True,1765563528.0463874,1,0,73,0.06593699981749523
1,1,107,1765563527,1,True,1765563528.0563438,1,0,31,0.03740500051208073
1,1,108,1765563527,2,True,1765563528.07699,1,0,52,0.0414830001318478
1,1,109,1765563528,1,True,1765563528.0936272,1,0,32,0.0401659999624826
1,1,110,1765563528,2,True,1765563528.1321387,1,0,53,0.06698200013488531
